z_mid,delta,delta_err_SN,delta_err_tot
0.1050,-0.3757,0.2880,0.4955
0.1150,-0.1030,0.3543,0.5258
0.1250,-0.2508,0.2749,0.4114
0.1350,-0.6254,0.1707,0.3449
0.1450,-0.3257,0.2324,0.3695
0.1550,-0.3783,0.2137,0.3540
0.1650,0.2503,0.3047,0.3532
0.1750,-0.1652,0.2511,0.3928
0.1850,0.2935,0.3339,0.4470
0.1950,0.8875,0.4125,0.4623
0.2050,0.2174,0.3044,0.4352
0.2150,-0.1191,0.2168,0.3268
0.2250,0.0718,0.2355,0.3142
0.2350,0.3450,0.2664,0.3202
0.2450,0.2848,0.2455,0.2926
0.2550,0.0308,0.2013,0.2608
0.2650,0.0098,0.1905,0.2445
0.2750,0.2007,0.1897,0.1989
0.2850,0.0546,0.1904,0.2378
0.2950,-0.3313,0.1441,0.2261
0.3050,-0.3316,0.1508,0.2510
0.3150,-0.3892,0.1484,0.2784
0.3250,-0.2348,0.1694,0.2944
0.3350,-0.1417,0.1867,0.3219
0.3450,-0.0522,0.1844,0.2884
0.3550,0.1226,0.1949,0.2728
0.3650,0.4130,0.2020,0.2327
0.3750,-0.0132,0.1527,0.2030
0.3850,-0.1164,0.1361,0.1840
0.3950,-0.0538,0.1301,0.1612
0.4050,0.0180,0.1307,0.1525
0.4150,-0.1989,0.1104,0.1421
0.4250,-0.1113,0.1326,0.1869
0.4350,-0.1185,0.1438,0.2237
0.4450,-0.3200,0.1206,0.2089
0.4550,0.0292,0.1473,0.2009
0.4650,0.0121,0.1461,0.2082
0.4750,0.1500,0.1520,0.1944
0.4850,0.0318,0.1336,0.1694
0.4950,0.1081,0.1341,0.1594
0.5050,-0.1085,0.1279,0.1876
0.5150,0.0051,0.1386,0.1909
0.5250,0.0223,0.1449,0.2127
0.5350,0.0348,0.1320,0.1736
0.5450,-0.0391,0.1311,0.1866
0.5550,-0.0679,0.1281,0.1848
0.5650,-0.0276,0.1285,0.1790
0.5750,-0.1381,0.1161,0.1657
0.5850,0.0938,0.1350,0.1784
0.5950,-0.1302,0.1162,0.1704
0.6050,0.0185,0.1197,0.1568
0.6150,0.0138,0.1162,0.1462
0.6250,-0.0273,0.1155,0.1503
0.6350,-0.0695,0.1125,0.1518
0.6450,-0.1568,0.1058,0.1475
0.6550,-0.0199,0.1157,0.1532
0.6650,0.2300,0.1319,0.1612
0.6750,0.0092,0.1164,0.1515
0.6850,0.1436,0.1254,0.1535
0.6950,-0.0676,0.1135,0.1550
0.7050,0.1059,0.1244,0.1578
0.7150,-0.0137,0.1157,0.1514
0.7250,-0.1744,0.1119,0.1692
0.7350,0.1365,0.1351,0.1727
0.7450,-0.0476,0.1267,0.1871
0.7550,0.0923,0.1358,0.1834
0.7650,0.0117,0.1299,0.1777
0.7750,0.2931,0.1548,0.1931
0.7850,0.1368,0.1396,0.1769
0.7950,0.1571,0.1442,0.1852
0.8050,0.1048,0.1446,0.1928
0.8150,-0.0180,0.1319,0.1827
0.8250,-0.2402,0.1189,0.1917
0.8350,-0.0066,0.1394,0.1954
0.8450,-0.0832,0.1317,0.1886
0.8550,-0.2479,0.1250,0.2049
0.8650,-0.0444,0.1389,0.1929
0.8750,0.0138,0.1423,0.1887
0.8850,-0.1579,0.1294,0.1899
0.8950,-0.2667,0.1218,0.1971
0.9050,-0.0149,0.1420,0.1934
0.9150,0.0741,0.1473,0.1835
0.9250,0.0344,0.1494,0.1949
0.9350,0.1491,0.1556,0.1869
0.9450,0.0062,0.1452,0.1833
0.9550,-0.0220,0.1481,0.1961
0.9650,0.1169,0.1668,0.2117
0.9750,-0.0631,0.1496,0.2006
0.9850,-0.1620,0.1436,0.2057
0.9950,0.0175,0.1650,0.2148
1.0050,-0.2383,0.1495,0.2344
1.0150,0.2773,0.1961,0.2263
1.0250,-0.3507,0.1538,0.2819
1.0350,0.0594,0.2003,0.2721
1.0450,-0.0770,0.1793,0.2440
1.0550,0.0984,0.2116,0.2704
1.0650,-0.1884,0.1843,0.2728
1.0750,-0.1254,0.1946,0.2788
1.0850,0.1935,0.2529,0.3214
1.0950,-0.1958,0.1972,0.2846
1.1050,-0.1377,0.2182,0.3143
1.1150,0.1145,0.2453,0.2871
1.1250,-0.2280,0.2224,0.3342
1.1350,0.0145,0.2753,0.3710
1.1450,-0.3375,0.2165,0.3420
1.1550,-0.5171,0.2020,0.3961
1.1650,-0.4546,0.2118,0.3578
1.1750,-0.5081,0.2255,0.4345
1.1850,-0.0675,0.3254,0.4235
1.1950,-0.2103,0.3352,0.5097
